yingluck won 296 votes in the nearly 500 - member parliament . ||| یینگلاک 296 رای در پارلمان تقریبا 500 عضوی به دست آورد . 
just look at this surprising bestselling book in tehran . ||| فقط به این کتاب پرفروش و شگفت انگیز در تهران نگاه کنید . 
fareed found iran surprisingly clean and its urban women relatively liberated . ||| فرید ایران را به طرز شگفت انگیزی پاک و زنان شهری آن را نسبتاً آزاد یافت . 
he spoke with analysts in iran who explained why , despite what westerners might expect , ahmadinejad is actually a reformer when compared with the ayatollah . ||| او با تحلیلگرانی در ایران صحبت کرد که توضیح دادند چرا علی رغم انتظار غربی ها، احمدی نژاد در مقایسه با آیت الله در واقع یک اصلاح طلب است . 
the president offered a rather unique interpretation of zionism , proposed an odd political experiment and defended his country 's soft policies toward syria . ||| رئیس جمهور تفسیر نسبتا منحصر به فردی از صهیونیسم ارائه کرد، یک آزمایش سیاسی عجیب را پیشنهاد کرد و از سیاست های نرم کشورش در قبال سوریه دفاع کرد . 
we 've been paying a lot of attention to iran over the past few weeks . ||| ما در چند هفته گذشته توجه زیادی به ایران داشته ایم . 
there was also hope that the new king , abdullah , would help bring saudi arabia into the twenty - first century . ||| همچنین امید وجود داشت که پادشاه جدید، عبدالله، به آوردن عربستان سعودی به قرن بیست و یکم کمک کند . 
granted , nayef has been a vociferous enemy of al qaeda elements inside saudi arabia and eliminated hundreds of operatives , while arresting thousands since 2003 . but this was not because he opposed jihadi ideology or islamist thinking . ||| مسلما نایف دشمن سرسخت عناصر القاعده در داخل عربستان سعودی بوده و صدها عامل را از بین برده و هزاران نفر را از سال 2003 دستگیر کرده است . اما این به دلیل مخالفت او با ایدئولوژی جهادی یا تفکر اسلامی نبود . 
his public attacks on the muslim brotherhood come not because he differs with their brand of salafi islam , but because they seek to undermine the house of saud . ||| حملات علنی او به اخوان المسلمین به این دلیل نیست که او با نام اسلام سلفی آنها تفاوت دارد، بلکه به این دلیل است که آنها به دنبال تضعیف خاندان سعود هستند . 
more than 370 people have died , and charities working in the country have warned of the risk of water - and insect - borne diseases such as diarrhea , dengue fever and malaria in the coming days and weeks . ||| بیش از 370 نفر جان خود را از دست داده اند و خیریه های فعال در کشور نسبت به خطر بیماری های ناشی از آب و حشرات مانند اسهال، تب دنگی و مالاریا در روزها و هفته های آینده هشدار داده اند . 
thai officials warned residents in the capital to be vigilant and expect disruptions with electricity and tap water . ||| مقامات تایلندی به ساکنان پایتخت هشدار دادند که هوشیار باشند و انتظار اختلال در برق و آب لوله کشی را داشته باشند . 
unicef said it was providing 20 , 000 mosquito nets , and handing out 20 , 000 pamphlets explaining how to stay safe and healthy in flood - hit regions . ||| یونیسف گفت که در حال تهیه 20000 پشه بند و توزیع 20000 جزوه در مورد چگونگی ایمن و سالم ماندن در مناطق سیل زده است . 
however , the government has warned it may take more than a month for the floods to recede . ||| با این حال , دولت هشدار داده است که کاهش سیل ممکن است بیش از یک ماه طول بکشد . 
three afghan security guards and one afghan civilian were killed in the attack , said gen. hamid wardag , a local commander of the afghan national army . ||| جنرال گفت که در این حمله سه محافظ امنیتی افغان و یک غیرنظامی افغان کشته شدند . حمید وردگ یک فرمانده محلی ارتش ملی افغانستان . 
wardag said a truck full of explosives blew up in front of the international relief and development office . ||| وردگ گفت که یک کامیون پر از مواد منفجره در مقابل دفتر امداد و توسعه بین المللی منفجر شد . 
international relief and development specializes in helping areas affected by conflict and war recover and improve , according to its website . ||| طبق وب سایت خود، امداد و توسعه بین المللی در کمک به مناطق آسیب دیده از درگیری و جنگ برای بهبود و بهبود تخصص دارد . 
kandahar province has seen a rash of recent violence . ||| ولایت قندهار شاهد خشونت های اخیر بوده است . 
on thursday , insurgents launched attacks on a provincial reconstruction team base and a military outpost , afghan and nato officials said . ||| مقامات افغان و ناتو گفتند که در روز پنجشنبه، شورشیان حملاتی را بر یک پایگاه تیم بازسازی استانی و یک پاسگاه نظامی آغاز کردند . 
and on october 22 , three u.s. service members were killed when an improvised explosive device blew up near their assault force . ||| و در 22 اکتبر , سه تن از نیروهای آمریکایی بر اثر انفجار یک بمب دست ساز در نزدیکی نیروهای تهاجمی آنها کشته شدند . 
after seven months of an aerial bombing campaign that helped depose longtime ruler moammar gadhafi , nato officially ends its mission in libya on monday . ||| پس از هفت ماه بمباران هوایی که به سرنگونی حاکم دیرینه معمر قذافی کمک کرد، ناتو در روز دوشنبه رسما به ماموریت خود در لیبی پایان می دهد . 
libyans have now liberated their country . and they have transformed the region , said nato secretary - general anders fogh rasmussen on friday . this is their victory . ||| لیبیایی ها اکنون کشور خود را آزاد کرده اند . آندرس فوگ راسموسن دبیر کل ناتو در روز جمعه گفت و آنها منطقه را متحول کرده اند . این پیروزی آنهاست . 
our operation for libya will end on october 31 . until then , together with our partners , we will continue to monitor the situation . ||| عملیات ما برای لیبی در 31 اکتبر به پایان خواهد رسید . تا آن زمان ما به همراه شرکای خود به نظارت بر وضعیت ادامه خواهیم داد . 
we 're very concerned that , as we move forward , that the authorities make maximum effort to swiftly form an inclusive government that incorporates all aspects of libyan society , and in which the rights of all libyan people are fully and thoroughly respected , regardless of their gender , their religion , their region of origin , rice said after the security council vote last thursday . ||| ما بسیار نگران هستیم که همزمان با حرکت رو به جلو، مقامات حداکثر تلاش را برای تشکیل سریع یک دولت فراگیر انجام دهند که تمام جنبه های جامعه لیبی را در بر گیرد و در آن حقوق همه مردم لیبی صرف نظر از آنها به طور کامل و کامل رعایت شود . رایس پس از رای گیری شورای امنیت در روز پنجشنبه گذشته گفت که جنسیت، مذهب، منطقه مبدأ آنها . 
all of the events that have taken place since february 2011 and the murder of gadhafi , all of this means we are totally in our right to call upon the international criminal court , said marcel ceccaldi , a lawyer representing the family said last week . ||| مارسل سکالدی، وکیل مدافع خانواده هفته گذشته گفت که همه وقایعی که از فوریه 2011 و قتل قذافی رخ داده است، همه اینها به این معنی است که ما کاملاً حق داریم از دادگاه کیفری بین المللی درخواست کنیم . 
the judge is not firm enough , said khaled abu bakr , a lawyer representing one of the victims . ||| خالد ابوبکر، وکیل مدافع یکی از قربانیان، گفت که قاضی به اندازه کافی محکم نیست . 
still , the timing of the move came as a surprise to some , given that the nikkei index and yen crosses had both been relatively steady . ||| با این حال , با توجه به اینکه شاخص نیکی و تلاقی ین هر دو نسبتا ثابت بوده اند , زمان این حرکت برای برخی تعجب آور بود . 
this is likely to have been a single - shot intervention . ||| این احتمالاً یک مداخله تک تیر بوده است . 
in recent cases of intervention , the government 's style has been minimum frequency , but maximum size , said mr yamamoto of barcap . ||| آقای یاماموتو از بارکاپ گفت که در موارد اخیر مداخله، سبک دولت حداقل تعداد دفعات، اما حداکثر اندازه بوده است . 
if today 's intervention stops the downward movement in dollar / yen , there will be no follow - through tomorrow , but it all depends on how the currency moves in later sessions . ||| اگر مداخله امروز حرکت نزولی دلار / ین را متوقف کند، فردا هیچ پیگیری وجود نخواهد داشت، اما همه چیز به نحوه حرکت ارز در جلسات بعدی بستگی دارد . 
a diplomatic source said the two british citizens who were killed were civilian contractors working for isaf . ||| یک منبع دیپلماتیک گفت که دو شهروند بریتانیایی که کشته شدند پیمانکاران غیرنظامی بودند که برای ایساف کار می کردند . 
afghan president hamid karzai offered his sympathies at a national security meeting sunday . ||| حامد کرزی رئیس جمهور افغانستان روز یکشنبه در نشست امنیت ملی ابراز همدردی کرد . 
afghan people are grieved by the nato loss of lives and share the pain and sorrow with the families and friends of the troops killed , he said . ||| او گفت که مردم افغانستان از جان باختن ناتو غمگین هستند و درد و اندوه را با خانواده ها و دوستان سربازان کشته شده شریک می سازند . 
a taliban spokesman confirmed saturday 's attack in a text message , saying it killed 16 foreign soldiers , one civilian and injured many others . ||| یک سخنگوی طالبان در پیامی حمله روز شنبه را تایید کرد و گفت که در آن 16 سرباز خارجی، یک غیرنظامی کشته و تعداد زیادی زخمی شدند . 
taliban casualty counts are often inflated ; there was no other reliable indication 16 foreigners were killed . ||| تعداد تلفات طالبان اغلب زیاد است . هیچ نشانه قابل اعتماد دیگری وجود نداشت 16 خارجی کشته شدند . 
about 20 taliban insurgents and seven tribesmen were among the dead , he said . ||| او گفت که حدود 20 شورشی طالب و هفت تن از افراد قبیله ای در میان کشته شدگان هستند . 
the shooter was killed in the incident in southern afghanistan . ||| تیرانداز در این رویداد در جنوب افغانستان کشته شد . 
the progress 45 freighter is slated to dock with the station on wednesday with three tons of food , fuel , water and spare parts for the u.s. , russian and japanese crew of the station . ||| کشتی باری پیشرفت 45 قرار است در روز چهارشنبه با سه تن غذا، سوخت، آب و قطعات یدکی برای خدمه ایستگاه آمریکایی، روسی و ژاپنی در ایستگاه پهلو بگیرد .
